Model,Task,Noise_Type,Noise_Level,Seed,accuracy_gap,dp_diff,Acc_Black,Acc_East Asian,Acc_Indian,Acc_Latino_Hispanic,Acc_Middle Eastern,Acc_Southeast Asian,Acc_White,Acc_female,Acc_male,Acc_0-2,Acc_10-19,Acc_20-29,Acc_3-9,Acc_30-39,Acc_40-49,Acc_50-59,Acc_60-69,Acc_70+
Baseline,race,clean,0,0,0.0907,,0.5299,0.3857,0.3506,0.2745,0.1391,0.2683,0.5746,,,,,,,,,,,
Baseline,race,cutout,1,0,0.0381,,0.6194,0.4357,0.2987,0.3072,0.2957,0.2195,0.4917,,,,,,,,,,,
Baseline,race,cutout,2,0,0.0408,,0.5746,0.4357,0.3182,0.3268,0.2957,0.2033,0.5304,,,,,,,,,,,
Baseline,race,cutout,3,0,0.0951,,0.5821,0.3857,0.2597,0.3072,0.3478,0.2683,0.5580,,,,,,,,,,,
Baseline,race,defocus,1,0,0.0618,,0.5299,0.3357,0.2143,0.2418,0.0957,0.2276,0.6851,,,,,,,,,,,
Baseline,race,defocus,2,0,0.0830,,0.6343,0.1000,0.1429,0.1569,0.0348,0.0488,0.6906,,,,,,,,,,,
Baseline,race,defocus,3,0,0.0759,,0.5672,0.0071,0.2208,0.0654,0.0174,0.0000,0.8177,,,,,,,,,,,
Baseline,race,gaussian,1,0,0.0091,,0.7537,0.1357,0.1948,0.1830,0.2174,0.0163,0.4309,,,,,,,,,,,
Baseline,race,gaussian,2,0,0.0514,,0.5075,0.2000,0.4091,0.0654,0.2783,0.0325,0.2597,,,,,,,,,,,
Baseline,race,gaussian,3,0,0.0068,,0.2463,0.1857,0.3831,0.0392,0.4174,0.1057,0.1713,,,,,,,,,,,
Baseline,race,glass,1,0,0.0745,,0.5448,0.3071,0.3961,0.3203,0.1913,0.2683,0.5967,,,,,,,,,,,
Baseline,race,glass,2,0,0.0801,,0.4328,0.3357,0.3831,0.2222,0.1652,0.1789,0.5414,,,,,,,,,,,
Baseline,race,glass,3,0,0.0588,,0.4925,0.2500,0.2662,0.2549,0.1217,0.2033,0.5912,,,,,,,,,,,
Baseline,race,impulse,1,0,0.0300,,0.1343,0.2643,0.3896,0.1176,0.1043,0.1870,0.4917,,,,,,,,,,,
Baseline,race,impulse,2,0,0.0240,,0.0970,0.3071,0.3506,0.1242,0.0609,0.3577,0.3370,,,,,,,,,,,
Baseline,race,impulse,3,0,0.0308,,0.0672,0.2071,0.2922,0.0523,0.0435,0.4715,0.2486,,,,,,,,,,,
Baseline,race,jpeg,1,0,0.0926,,0.5224,0.3857,0.3506,0.2745,0.1391,0.2683,0.5746,,,,,,,,,,,
