Model,Task,Noise_Type,Noise_Level,Seed,N_samples,Acc,F1_macro,AUC,Acc_Black,Acc_East Asian,Acc_Indian,Acc_Latino_Hispanic,Acc_Middle Eastern,Acc_Southeast Asian,Acc_White,accuracy_gap,worst_group_acc,best_group_acc,dp_diff,eq_odds_diff,Acc_female,Acc_male,Acc_0-2,Acc_10-19,Acc_20-29,Acc_3-9,Acc_30-39,Acc_40-49,Acc_50-59,Acc_60-69,Acc_70+
Baseline,race,clean,0,0,1000,0.374000,0.355119,0.759149,0.529851,0.385714,0.350649,0.274510,0.139130,0.268293,0.574586,0.090725,0.331450,0.422175,,0.065930,,,,,,,,,,,
Baseline,race,cutout,1,0,1000,0.387000,0.375000,0.762091,0.619403,0.435714,0.298701,0.307190,0.295652,0.219512,0.491713,0.038135,0.369115,0.407249,,0.100668,,,,,,,,,,,
Baseline,race,cutout,2,0,1000,0.392000,0.380030,0.761197,0.574627,0.435714,0.318182,0.326797,0.295652,0.203252,0.530387,0.040765,0.372881,0.413646,,0.054926,,,,,,,,,,,
Baseline,race,cutout,3,0,1000,0.393000,0.384741,0.756460,0.582090,0.385714,0.259740,0.307190,0.347826,0.268293,0.558011,0.095098,0.348399,0.443497,,0.075137,,,,,,,,,,,
Baseline,race,defocus,1,0,1000,0.351000,0.316678,0.728343,0.529851,0.335714,0.214286,0.241830,0.095652,0.227642,0.685083,0.061761,0.322034,0.383795,,0.070696,,,,,,,,,,,
Baseline,race,defocus,2,0,1000,0.280000,0.210487,0.666205,0.634328,0.100000,0.142857,0.156863,0.034783,0.048780,0.690608,0.083039,0.241055,0.324094,,0.040041,,,,,,,,,,,
Baseline,race,defocus,3,0,1000,0.271000,0.170528,0.645948,0.567164,0.007143,0.220779,0.065359,0.017391,0.000000,0.817680,0.075896,0.235405,0.311301,,0.042063,,,,,,,,,,,
Baseline,race,gaussian,1,0,1000,0.283000,0.242066,0.667598,0.753731,0.135714,0.194805,0.183007,0.217391,0.016260,0.430939,0.009127,0.278719,0.287846,,0.091352,,,,,,,,,,,
Baseline,race,gaussian,2,0,1000,0.252000,0.223679,0.633592,0.507463,0.200000,0.409091,0.065359,0.278261,0.032520,0.259669,0.051446,0.227872,0.279318,,0.059869,,,,,,,,,,,
Baseline,race,gaussian,3,0,1000,0.216000,0.199388,0.597479,0.246269,0.185714,0.383117,0.039216,0.417391,0.105691,0.171271,0.006810,0.212806,0.219616,,0.069217,,,,,,,,,,,
Baseline,race,glass,1,0,1000,0.389000,0.370601,0.753508,0.544776,0.307143,0.396104,0.320261,0.191304,0.268293,0.596685,0.074522,0.354049,0.428571,,0.065847,,,,,,,,,,,
Baseline,race,glass,2,0,1000,0.337000,0.317142,0.719172,0.432836,0.335714,0.383117,0.222222,0.165217,0.178862,0.541436,0.080096,0.299435,0.379531,,0.089864,,,,,,,,,,,
Baseline,race,glass,3,0,1000,0.327000,0.302171,0.690821,0.492537,0.250000,0.266234,0.254902,0.121739,0.203252,0.591160,0.058774,0.299435,0.358209,,0.070172,,,,,,,,,,,
