Model,Task,Noise_Type,Noise_Level,Seed,accuracy_gap,dp_diff,Acc_Asian,Acc_Black,Acc_Indian,Acc_Others,Acc_White,Acc_female,Acc_male,Acc_0-2,Acc_10-19,Acc_20-29,Acc_3-9,Acc_30-39,Acc_40-49,Acc_50-59,Acc_60-69,Acc_70+
Baseline,race,clean,0,0,0.0017,,0.8355,0.8808,0.6867,0.1667,0.8385,,,,,,,,,,,
Baseline,race,cutout,1,0,0.0042,,0.7632,0.8756,0.6800,0.2024,0.8456,,,,,,,,,,,
Baseline,race,cutout,2,0,0.0179,,0.7697,0.8705,0.6467,0.1905,0.8480,,,,,,,,,,,
Baseline,race,cutout,3,0,0.0137,,0.7697,0.8549,0.6933,0.2262,0.8694,,,,,,,,,,,
Baseline,race,defocus,1,0,0.0165,,0.6711,0.8238,0.5400,0.1905,0.8599,,,,,,,,,,,
Baseline,race,defocus,2,0,0.0275,,0.4934,0.7306,0.3667,0.0952,0.9026,,,,,,,,,,,
Baseline,race,defocus,3,0,0.0123,,0.3158,0.6528,0.3000,0.0952,0.9026,,,,,,,,,,,
Baseline,race,gaussian,1,0,0.0007,,0.5724,0.7513,0.5600,0.0714,0.9121,,,,,,,,,,,
Baseline,race,gaussian,2,0,0.0190,,0.5000,0.7150,0.4733,0.0833,0.9382,,,,,,,,,,,
Baseline,race,gaussian,3,0,0.0317,,0.3750,0.6477,0.4467,0.0238,0.9311,,,,,,,,,,,
Baseline,race,glass,1,0,0.0039,,0.7697,0.8756,0.6600,0.1548,0.8551,,,,,,,,,,,
Baseline,race,glass,2,0,0.0001,,0.6908,0.8601,0.6867,0.1786,0.8432,,,,,,,,,,,
Baseline,race,glass,3,0,0.0305,,0.6447,0.8342,0.6067,0.1786,0.8456,,,,,,,,,,,
Baseline,race,impulse,1,0,0.0087,,0.5329,0.7668,0.6200,0.0476,0.9026,,,,,,,,,,,
Baseline,race,impulse,2,0,0.0152,,0.4671,0.7150,0.5333,0.0238,0.9169,,,,,,,,,,,
Baseline,race,impulse,3,0,0.0216,,0.4737,0.6580,0.4200,0.0000,0.9264,,,,,,,,,,,
Baseline,race,jpeg,1,0,0.0037,,0.8289,0.8808,0.6867,0.1667,0.8385,,,,,,,,,,,
Baseline,race,jpeg,2,0,0.0238,,0.7434,0.9016,0.7467,0.1071,0.8456,,,,,,,,,,,
Baseline,race,jpeg,3,0,0.0181,,0.6776,0.8705,0.6667,0.0476,0.8694,,,,,,,,,,,
Baseline,race,shot,1,0,0.0109,,0.5461,0.7617,0.4867,0.0714,0.9121,,,,,,,,,,,
Baseline,race,shot,2,0,0.0314,,0.4408,0.6943,0.4467,0.0357,0.9264,,,,,,,,,,,
Baseline,race,shot,3,0,0.0159,,0.3684,0.6425,0.3733,0.0119,0.9311,,,,,,,,,,,
Baseline,race,clean,0,1,0.0156,,0.8289,0.8912,0.6867,0.2024,0.8551,,,,,,,,,,,
Baseline,race,cutout,1,1,0.0157,,0.7763,0.8912,0.6600,0.2024,0.8599,,,,,,,,,,,
Baseline,race,cutout,2,1,0.0198,,0.7697,0.8808,0.6533,0.2024,0.8599,,,,,,,,,,,
Baseline,race,cutout,3,1,0.0118,,0.7500,0.8808,0.6467,0.2143,0.8670,,,,,,,,,,,
Baseline,race,defocus,1,1,0.0364,,0.6908,0.8601,0.5333,0.1548,0.8551,,,,,,,,,,,
Baseline,race,defocus,2,1,0.0114,,0.5329,0.7409,0.3333,0.1429,0.9002,,,,,,,,,,,
Baseline,race,defocus,3,1,0.0244,,0.3289,0.6580,0.2600,0.0476,0.9097,,,,,,,,,,,
Baseline,race,gaussian,1,1,0.0107,,0.5329,0.7824,0.5800,0.0476,0.9169,,,,,,,,,,,
Baseline,race,gaussian,2,1,0.0131,,0.4737,0.7098,0.5000,0.0238,0.9359,,,,,,,,,,,
Baseline,race,gaussian,3,1,0.0198,,0.3158,0.6528,0.4333,0.0000,0.9406,,,,,,,,,,,
Baseline,race,glass,1,1,0.0138,,0.7829,0.8808,0.6533,0.1786,0.8527,,,,,,,,,,,
Baseline,race,glass,2,1,0.0341,,0.6579,0.8808,0.7067,0.1786,0.8456,,,,,,,,,,,
