Model,Task,Noise_Type,Noise_Level,Seed,N_samples,Acc,F1_macro,AUC,Acc_Asian,Acc_Black,Acc_Indian,Acc_Others,Acc_White,accuracy_gap,worst_group_acc,best_group_acc,dp_diff,eq_odds_diff,Acc_female,Acc_male,Acc_0-2,Acc_10-19,Acc_20-29,Acc_3-9,Acc_30-39,Acc_40-49,Acc_50-59,Acc_60-69,Acc_70+
Baseline,race,clean,0,0,1000,0.767000,0.672262,0.906847,0.835526,0.880829,0.686667,0.166667,0.838480,0.001728,0.766129,0.767857,,0.046464,,,,,,,,,,,
Baseline,race,cutout,1,0,1000,0.760000,0.670466,0.907141,0.763158,0.875648,0.680000,0.202381,0.845606,0.004160,0.757937,0.762097,,0.041668,,,,,,,,,,,
Baseline,race,cutout,2,0,1000,0.755000,0.662024,0.904259,0.769737,0.870466,0.646667,0.190476,0.847981,0.017921,0.745968,0.763889,,0.026966,,,,,,,,,,,
Baseline,race,cutout,3,0,1000,0.771000,0.685650,0.907237,0.769737,0.854922,0.693333,0.226190,0.869359,0.013665,0.764113,0.777778,,0.032747,,,,,,,,,,,
Baseline,race,defocus,1,0,1000,0.720000,0.623928,0.882246,0.671053,0.823834,0.540000,0.190476,0.859857,0.016481,0.711694,0.728175,,0.044119,,,,,,,,,,,
Baseline,race,defocus,2,0,1000,0.659000,0.535144,0.836770,0.493421,0.730570,0.366667,0.095238,0.902613,0.027458,0.645161,0.672619,,0.029357,,,,,,,,,,,
Baseline,race,defocus,3,0,1000,0.607000,0.473637,0.792544,0.315789,0.652850,0.300000,0.095238,0.902613,0.012289,0.600806,0.613095,,0.083180,,,,,,,,,,,
Baseline,race,gaussian,1,0,1000,0.706000,0.585873,0.864561,0.572368,0.751295,0.560000,0.071429,0.912114,0.000704,0.705645,0.706349,,0.021881,,,,,,,,,,,
Baseline,race,gaussian,2,0,1000,0.687000,0.564589,0.858957,0.500000,0.715026,0.473333,0.083333,0.938242,0.019009,0.677419,0.696429,,0.020046,,,,,,,,,,,
Baseline,race,gaussian,3,0,1000,0.643000,0.498343,0.833680,0.375000,0.647668,0.446667,0.023810,0.931116,0.031714,0.627016,0.658730,,0.073854,,,,,,,,,,,
Baseline,race,glass,1,0,1000,0.758000,0.657731,0.905962,0.769737,0.875648,0.660000,0.154762,0.855107,0.003872,0.756048,0.759921,,0.041707,,,,,,,,,,,
Baseline,race,glass,2,0,1000,0.744000,0.652168,0.897413,0.690789,0.860104,0.686667,0.178571,0.843230,0.000096,0.743952,0.744048,,0.069466,,,,,,,,,,,
Baseline,race,glass,3,0,1000,0.721000,0.625145,0.888565,0.644737,0.834197,0.606667,0.178571,0.845606,0.030466,0.705645,0.736111,,0.051439,,,,,,,,,,,
Baseline,race,impulse,1,0,1000,0.706000,0.575568,0.868584,0.532895,0.766839,0.620000,0.047619,0.902613,0.008705,0.701613,0.710317,,0.036728,,,,,,,,,,,
Baseline,race,impulse,2,0,1000,0.677000,0.535231,0.849823,0.467105,0.715026,0.533333,0.023810,0.916865,0.015169,0.669355,0.684524,,0.021095,,,,,,,,,,,
Baseline,race,impulse,3,0,1000,0.652000,0.500347,0.825026,0.473684,0.658031,0.420000,0.000000,0.926366,0.021569,0.641129,0.662698,,0.047297,,,,,,,,,,,
Baseline,race,jpeg,1,0,1000,0.766000,0.671332,0.906844,0.828947,0.880829,0.686667,0.166667,0.838480,0.003744,0.764113,0.767857,,0.044191,,,,,,,,,,,
Baseline,race,jpeg,2,0,1000,0.764000,0.654937,0.896179,0.743421,0.901554,0.746667,0.107143,0.845606,0.023778,0.752016,0.775794,,0.041137,,,,,,,,,,,
Baseline,race,jpeg,3,0,1000,0.741000,0.612949,0.884332,0.677632,0.870466,0.666667,0.047619,0.869359,0.018145,0.731855,0.750000,,0.036649,,,,,,,,,,,
