Model,Task,Noise_Type,Noise_Level,Acc_mean,Acc_std,F1_macro_mean,F1_macro_std,AUC_mean,AUC_std,accuracy_gap_mean,accuracy_gap_std,dp_diff_mean,dp_diff_std,worst_group_acc_mean,worst_group_acc_std,best_group_acc_mean,best_group_acc_std,eq_odds_diff_mean,eq_odds_diff_std
Baseline,age,clean,0,0.5150,0.0063,0.4864,0.0054,0.8626,0.0019,0.2000,0.0268,,,0.4592,0.0156,0.6592,0.0239,0.3928,0.0364
Baseline,age,cutout,1,0.5108,0.0080,0.4828,0.0094,0.8621,0.0021,0.2056,0.0457,,,0.4509,0.0215,0.6566,0.0320,0.3935,0.0420
Baseline,age,cutout,2,0.5018,0.0099,0.4738,0.0121,0.8628,0.0015,0.2096,0.0148,,,0.4259,0.0195,0.6355,0.0184,0.4144,0.0228
Baseline,age,cutout,3,0.5024,0.0123,0.4784,0.0156,0.8599,0.0024,0.1918,0.0347,,,0.4437,0.0150,0.6355,0.0253,0.3995,0.0432
Baseline,age,defocus,1,0.4756,0.0064,0.4265,0.0074,0.8335,0.0015,0.1877,0.0167,,,0.4255,0.0104,0.6132,0.0157,0.3641,0.0459
Baseline,age,defocus,2,0.3858,0.0091,0.3300,0.0037,0.7720,0.0033,0.1666,0.0335,,,0.3120,0.0213,0.4786,0.0147,0.3718,0.0075
Baseline,age,defocus,3,0.3040,0.0087,0.2511,0.0142,0.7233,0.0053,0.1376,0.0313,,,0.2253,0.0272,0.3630,0.0168,0.3223,0.0131
Baseline,age,gaussian,1,0.3250,0.0075,0.3314,0.0055,0.8027,0.0023,0.2002,0.0252,,,0.2424,0.0279,0.4426,0.0215,0.4039,0.0102
Baseline,age,gaussian,2,0.2806,0.0145,0.2865,0.0133,0.7795,0.0025,0.1668,0.0559,,,0.2070,0.0247,0.3738,0.0434,0.3671,0.0334
Baseline,age,gaussian,3,0.2374,0.0149,0.2415,0.0115,0.7406,0.0017,0.1364,0.0375,,,0.1690,0.0332,0.3055,0.0302,0.3366,0.0507
Baseline,age,glass,1,0.5110,0.0075,0.4788,0.0075,0.8607,0.0020,0.2346,0.0186,,,0.4417,0.0196,0.6763,0.0215,0.3850,0.0300
Baseline,age,glass,2,0.4874,0.0027,0.4508,0.0050,0.8433,0.0017,0.1975,0.0299,,,0.4249,0.0214,0.6224,0.0128,0.3557,0.0320
Baseline,age,glass,3,0.4710,0.0019,0.4276,0.0019,0.8277,0.0031,0.1654,0.0161,,,0.4212,0.0115,0.5867,0.0121,0.3656,0.0465
Baseline,age,impulse,1,0.3590,0.0081,0.3537,0.0060,0.8107,0.0032,0.1644,0.0149,,,0.2850,0.0155,0.4494,0.0119,0.3141,0.0430
Baseline,age,impulse,2,0.3194,0.0093,0.3145,0.0112,0.7937,0.0022,0.1507,0.0216,,,0.2240,0.0293,0.3747,0.0091,0.2951,0.0261
Baseline,age,impulse,3,0.2692,0.0143,0.2605,0.0196,0.7632,0.0024,0.1484,0.0312,,,0.1707,0.0300,0.3190,0.0213,0.3519,0.0339
Baseline,age,jpeg,1,0.5150,0.0060,0.4860,0.0042,0.8629,0.0019,0.2000,0.0268,,,0.4592,0.0156,0.6592,0.0239,0.3933,0.0313
Baseline,age,jpeg,2,0.5018,0.0099,0.4707,0.0108,0.8520,0.0026,0.2148,0.0215,,,0.4207,0.0212,0.6355,0.0144,0.3680,0.0289
Baseline,age,jpeg,3,0.4444,0.0057,0.4172,0.0079,0.8342,0.0015,0.1998,0.0267,,,0.3673,0.0165,0.5671,0.0177,0.4002,0.0400
Baseline,age,shot,1,0.3188,0.0096,0.3255,0.0060,0.8049,0.0020,0.1689,0.0433,,,0.2311,0.0288,0.4001,0.0258,0.3675,0.0230
Baseline,age,shot,2,0.2580,0.0110,0.2709,0.0135,0.7690,0.0016,0.1559,0.0277,,,0.1798,0.0268,0.3357,0.0213,0.3806,0.0274
Baseline,age,shot,3,0.2202,0.0124,0.2246,0.0171,0.7346,0.0025,0.1244,0.0326,,,0.1462,0.0214,0.2706,0.0226,0.3321,0.0384
Baseline,gender,clean,0,0.9178,0.0041,0.9178,0.0041,0.9731,0.0007,0.1009,0.0211,0.2026,0.0197,0.8618,0.0168,0.9627,0.0068,0.1121,0.0181
Baseline,gender,cutout,1,0.9198,0.0030,0.9198,0.0030,0.9725,0.0008,0.0967,0.0093,0.2140,0.0212,0.8618,0.0093,0.9585,0.0000,0.1093,0.0087
Baseline,gender,cutout,2,0.9234,0.0032,0.9234,0.0032,0.9726,0.0008,0.0914,0.0058,0.2048,0.0210,0.8671,0.0098,0.9585,0.0063,0.1014,0.0106
Baseline,gender,cutout,3,0.9124,0.0044,0.9124,0.0044,0.9703,0.0010,0.0880,0.0125,0.2078,0.0110,0.8539,0.0086,0.9420,0.0068,0.1056,0.0142
Baseline,gender,defocus,1,0.9110,0.0033,0.9110,0.0033,0.9673,0.0013,0.0863,0.0100,0.1906,0.0202,0.8681,0.0148,0.9544,0.0112,0.0981,0.0129
Baseline,gender,defocus,2,0.8550,0.0129,0.8540,0.0134,0.9403,0.0041,0.0966,0.0158,0.2048,0.0060,0.7987,0.0195,0.8953,0.0067,0.1213,0.0211
Baseline,gender,defocus,3,0.8160,0.0106,0.8129,0.0121,0.9126,0.0054,0.1069,0.0132,0.1873,0.0284,0.7474,0.0165,0.8543,0.0060,0.1366,0.0132
Baseline,gender,gaussian,1,0.9058,0.0048,0.9057,0.0048,0.9666,0.0015,0.0823,0.0191,0.2011,0.0207,0.8566,0.0135,0.9389,0.0077,0.0899,0.0269
Baseline,gender,gaussian,2,0.8948,0.0070,0.8946,0.0071,0.9628,0.0014,0.0808,0.0288,0.1793,0.0192,0.8461,0.0231,0.9268,0.0088,0.0813,0.0233
Baseline,gender,gaussian,3,0.8648,0.0044,0.8644,0.0047,0.9471,0.0010,0.1106,0.0227,0.1949,0.0190,0.7987,0.0257,0.9093,0.0070,0.1183,0.0238
Baseline,gender,glass,1,0.9154,0.0031,0.9154,0.0031,0.9709,0.0009,0.1245,0.0144,0.2093,0.0166,0.8382,0.0100,0.9627,0.0068,0.1345,0.0148
Baseline,gender,glass,2,0.9040,0.0016,0.9040,0.0016,0.9632,0.0021,0.0951,0.0085,0.1918,0.0163,0.8500,0.0108,0.9451,0.0101,0.1121,0.0116
Baseline,gender,glass,3,0.8976,0.0046,0.8976,0.0046,0.9609,0.0012,0.1093,0.0219,0.2034,0.0173,0.8368,0.0220,0.9461,0.0059,0.1192,0.0198
Baseline,gender,impulse,1,0.8872,0.0045,0.8872,0.0045,0.9534,0.0028,0.1084,0.0268,0.1759,0.0276,0.8118,0.0211,0.9203,0.0080,0.1277,0.0205
Baseline,gender,impulse,2,0.8710,0.0038,0.8710,0.0038,0.9456,0.0018,0.1407,0.0305,0.1954,0.0220,0.7855,0.0226,0.9262,0.0155,0.1615,0.0357
Baseline,gender,impulse,3,0.8514,0.0028,0.8512,0.0027,0.9299,0.0011,0.1612,0.0167,0.2001,0.0273,0.7579,0.0143,0.9190,0.0053,0.1756,0.0181
Baseline,gender,jpeg,1,0.9182,0.0048,0.9182,0.0048,0.9730,0.0007,0.1056,0.0202,0.2079,0.0166,0.8592,0.0136,0.9648,0.0077,0.1164,0.0152
Baseline,gender,jpeg,2,0.9208,0.0024,0.9208,0.0024,0.9730,0.0011,0.1155,0.0212,0.2055,0.0277,0.8513,0.0201,0.9668,0.0028,0.1288,0.0071
Baseline,gender,jpeg,3,0.9176,0.0023,0.9176,0.0023,0.9709,0.0004,0.0608,0.0049,0.1915,0.0131,0.8776,0.0075,0.9384,0.0035,0.0708,0.0061
Baseline,gender,shot,1,0.9092,0.0053,0.9091,0.0053,0.9705,0.0014,0.0807,0.0260,0.1847,0.0126,0.8566,0.0234,0.9373,0.0039,0.0869,0.0228
Baseline,gender,shot,2,0.8876,0.0059,0.8874,0.0060,0.9575,0.0018,0.0976,0.0137,0.2080,0.0167,0.8303,0.0127,0.9279,0.0064,0.1205,0.0176
Baseline,gender,shot,3,0.8542,0.0063,0.8538,0.0066,0.9393,0.0021,0.0873,0.0287,0.2164,0.0296,0.8079,0.0234,0.8952,0.0155,0.1310,0.0166
Baseline,race,clean,0,0.7782,0.0065,0.6855,0.0078,0.9070,0.0021,0.0095,0.0064,,,0.7734,0.0054,0.7829,0.0087,0.0539,0.0104
Baseline,race,cutout,1,0.7700,0.0065,0.6811,0.0084,0.9065,0.0017,0.0087,0.0045,,,0.7656,0.0063,0.7743,0.0075,0.0471,0.0090
Baseline,race,cutout,2,0.7642,0.0061,0.6746,0.0112,0.9041,0.0024,0.0170,0.0023,,,0.7556,0.0069,0.7726,0.0054,0.0479,0.0146
Baseline,race,cutout,3,0.7692,0.0041,0.6812,0.0072,0.9075,0.0018,0.0063,0.0059,,,0.7661,0.0057,0.7723,0.0044,0.0482,0.0138
Baseline,race,defocus,1,0.7254,0.0049,0.6249,0.0076,0.8865,0.0026,0.0280,0.0106,,,0.7113,0.0072,0.7393,0.0072,0.0631,0.0173
Baseline,race,defocus,2,0.6646,0.0050,0.5467,0.0095,0.8410,0.0050,0.0194,0.0068,,,0.6548,0.0072,0.6742,0.0047,0.0408,0.0081
Baseline,race,defocus,3,0.6124,0.0071,0.4738,0.0188,0.7921,0.0055,0.0158,0.0092,,,0.6044,0.0093,0.6202,0.0075,0.0615,0.0204
Baseline,race,gaussian,1,0.7082,0.0052,0.5870,0.0084,0.8700,0.0039,0.0211,0.0241,,,0.6976,0.0159,0.7187,0.0096,0.0390,0.0179
Baseline,race,gaussian,2,0.6862,0.0065,0.5568,0.0102,0.8629,0.0037,0.0214,0.0065,,,0.6754,0.0075,0.6968,0.0071,0.0281,0.0114
Baseline,race,gaussian,3,0.6446,0.0119,0.4959,0.0183,0.8393,0.0033,0.0253,0.0087,,,0.6319,0.0090,0.6571,0.0155,0.0539,0.0128
Baseline,race,glass,1,0.7658,0.0061,0.6717,0.0095,0.9077,0.0019,0.0081,0.0052,,,0.7617,0.0066,0.7698,0.0067,0.0459,0.0120
Baseline,race,glass,2,0.7506,0.0073,0.6590,0.0089,0.9010,0.0026,0.0116,0.0145,,,0.7448,0.0092,0.7563,0.0113,0.0612,0.0069
Baseline,race,glass,3,0.7290,0.0083,0.6336,0.0106,0.8924,0.0024,0.0295,0.0131,,,0.7141,0.0123,0.7437,0.0086,0.0525,0.0150
Baseline,race,impulse,1,0.7040,0.0029,0.5706,0.0057,0.8708,0.0040,0.0135,0.0083,,,0.6972,0.0039,0.7107,0.0060,0.0396,0.0114
Baseline,race,impulse,2,0.6768,0.0060,0.5328,0.0108,0.8526,0.0035,0.0236,0.0118,,,0.6649,0.0117,0.6885,0.0024,0.0355,0.0123
Baseline,race,impulse,3,0.6432,0.0094,0.4937,0.0110,0.8279,0.0033,0.0233,0.0048,,,0.6315,0.0100,0.6548,0.0093,0.0394,0.0089
Baseline,race,jpeg,1,0.7786,0.0072,0.6859,0.0083,0.9070,0.0021,0.0095,0.0070,,,0.7738,0.0070,0.7833,0.0089,0.0521,0.0122
Baseline,race,jpeg,2,0.7620,0.0043,0.6527,0.0037,0.8993,0.0034,0.0270,0.0119,,,0.7484,0.0081,0.7754,0.0065,0.0433,0.0072
Baseline,race,jpeg,3,0.7378,0.0087,0.6075,0.0063,0.8868,0.0036,0.0246,0.0093,,,0.7254,0.0104,0.7500,0.0093,0.0390,0.0072
Baseline,race,shot,1,0.6948,0.0056,0.5702,0.0082,0.8716,0.0030,0.0177,0.0053,,,0.6859,0.0073,0.7036,0.0048,0.0418,0.0069
Baseline,race,shot,2,0.6634,0.0029,0.5267,0.0085,0.8526,0.0039,0.0226,0.0090,,,0.6520,0.0049,0.6746,0.0058,0.0455,0.0098
Baseline,race,shot,3,0.6290,0.0055,0.4760,0.0067,0.8274,0.0045,0.0128,0.0087,,,0.6225,0.0096,0.6354,0.0027,0.0212,0.0085
Ours,age,clean,0,0.5286,0.0043,0.5003,0.0086,0.8643,0.0006,0.2224,0.0183,,,0.4539,0.0154,0.6763,0.0220,0.4086,0.0487
Ours,age,cutout,1,0.5390,0.0065,0.5025,0.0047,0.8729,0.0008,0.2348,0.0200,,,0.4560,0.0226,0.6908,0.0140,0.4125,0.0266
Ours,age,cutout,2,0.5290,0.0069,0.4884,0.0104,0.8762,0.0006,0.2332,0.0159,,,0.4549,0.0181,0.6882,0.0144,0.3928,0.0324
Ours,age,cutout,3,0.5226,0.0045,0.4869,0.0093,0.8729,0.0009,0.2004,0.0190,,,0.4628,0.0217,0.6632,0.0143,0.3763,0.0199
Ours,age,defocus,1,0.4950,0.0066,0.4511,0.0073,0.8426,0.0018,0.2128,0.0144,,,0.4385,0.0072,0.6513,0.0197,0.3865,0.0255
Ours,age,defocus,2,0.4044,0.0107,0.3533,0.0077,0.7946,0.0014,0.1620,0.0197,,,0.3333,0.0243,0.4952,0.0296,0.3876,0.0469
Ours,age,defocus,3,0.3450,0.0096,0.2986,0.0093,0.7526,0.0018,0.1521,0.0387,,,0.2533,0.0403,0.4054,0.0178,0.3897,0.0287
Ours,age,gaussian,1,0.4364,0.0149,0.4165,0.0123,0.8299,0.0013,0.2008,0.0210,,,0.3788,0.0249,0.5796,0.0228,0.4519,0.0434
Ours,age,gaussian,2,0.4136,0.0127,0.3980,0.0069,0.8188,0.0017,0.1963,0.0131,,,0.3523,0.0204,0.5486,0.0241,0.4373,0.0433
Ours,age,gaussian,3,0.3610,0.0102,0.3468,0.0093,0.7906,0.0009,0.2136,0.0100,,,0.2929,0.0170,0.5066,0.0233,0.3750,0.0210
Ours,age,glass,1,0.5278,0.0046,0.4965,0.0083,0.8635,0.0005,0.2491,0.0238,,,0.4456,0.0122,0.6947,0.0235,0.3844,0.0629
Ours,age,glass,2,0.5152,0.0033,0.4793,0.0064,0.8577,0.0012,0.2340,0.0027,,,0.4450,0.0108,0.6789,0.0108,0.3674,0.0478
Ours,age,glass,3,0.4900,0.0080,0.4556,0.0111,0.8429,0.0013,0.2075,0.0311,,,0.4228,0.0219,0.6303,0.0265,0.3805,0.0389
Ours,age,impulse,1,0.4486,0.0115,0.4196,0.0089,0.8402,0.0013,0.1586,0.0142,,,0.4059,0.0131,0.5645,0.0220,0.4225,0.0309
Ours,age,impulse,2,0.4058,0.0055,0.3787,0.0042,0.8293,0.0021,0.1860,0.0215,,,0.3377,0.0181,0.5237,0.0100,0.4007,0.0243
Ours,age,impulse,3,0.3816,0.0144,0.3537,0.0089,0.8127,0.0016,0.1695,0.0260,,,0.3160,0.0269,0.4855,0.0157,0.3976,0.0375
Ours,age,jpeg,1,0.5294,0.0043,0.5019,0.0089,0.8646,0.0006,0.2251,0.0159,,,0.4539,0.0140,0.6789,0.0188,0.4094,0.0482
Ours,age,jpeg,2,0.5168,0.0060,0.4743,0.0054,0.8554,0.0015,0.2251,0.0178,,,0.4486,0.0138,0.6737,0.0244,0.3529,0.0160
Ours,age,jpeg,3,0.4992,0.0075,0.4566,0.0059,0.8438,0.0013,0.2241,0.0172,,,0.4351,0.0162,0.6592,0.0055,0.4058,0.0481
Ours,age,shot,1,0.4396,0.0115,0.4161,0.0120,0.8296,0.0022,0.1911,0.0252,,,0.3699,0.0079,0.5611,0.0217,0.4595,0.0556
Ours,age,shot,2,0.3932,0.0128,0.3789,0.0126,0.8109,0.0024,0.1864,0.0219,,,0.3365,0.0186,0.5229,0.0078,0.3921,0.0330
Ours,age,shot,3,0.3480,0.0122,0.3403,0.0056,0.7925,0.0017,0.2114,0.0374,,,0.2560,0.0370,0.4674,0.0221,0.4077,0.0377
Ours,gender,clean,0,0.9222,0.0041,0.9222,0.0041,0.9757,0.0006,0.0757,0.0110,0.2238,0.0263,0.8776,0.0110,0.9534,0.0000,0.1007,0.0099
Ours,gender,cutout,1,0.9288,0.0019,0.9288,0.0019,0.9776,0.0008,0.0699,0.0137,0.2331,0.0127,0.8855,0.0100,0.9554,0.0059,0.0952,0.0111
Ours,gender,cutout,2,0.9302,0.0030,0.9302,0.0030,0.9771,0.0008,0.0705,0.0174,0.2358,0.0196,0.8829,0.0143,0.9534,0.0037,0.0952,0.0211
